Week,Gpt
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,1
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,1
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,2
2020-05-31,4
2020-06-07,2
2020-06-14,3
2020-06-21,2
2020-06-28,5
2020-07-05,2
2020-07-12,18
2020-07-19,56
2020-07-26,35
2020-08-02,23
2020-08-09,17
2020-08-16,20
2020-08-23,18
2020-08-30,14
2020-09-06,15
2020-09-13,11
2020-09-20,12
2020-09-27,8
2020-10-04,8
2020-10-11,10
2020-10-18,10
2020-10-25,8
2020-11-01,8
2020-11-08,10
2020-11-15,8
2020-11-22,10
2020-11-29,10
2020-12-06,6
2020-12-13,6
2020-12-20,5
2020-12-27,7
2021-01-03,6
2021-01-10,7
2021-01-17,7
2021-01-24,9
2021-01-31,9
2021-02-07,7
2021-02-14,7
2021-02-21,9
2021-02-28,7
2021-03-07,6
2021-03-14,8
2021-03-21,6
2021-03-28,7
2021-04-04,7
2021-04-11,6
2021-04-18,6
2021-04-25,5
2021-05-02,7
2021-05-09,8
2021-05-16,6
2021-05-23,8
2021-05-30,7
2021-06-06,7
2021-06-13,5
2021-06-20,6
2021-06-27,7
2021-07-04,7
2021-07-11,6
2021-07-18,5
2021-07-25,6
2021-08-01,4
2021-08-08,6
2021-08-15,6
2021-08-22,9
2021-08-29,6
2021-09-05,6
2021-09-12,7
2021-09-19,7
2021-09-26,8
2021-10-03,5
2021-10-10,7
2021-10-17,5
2021-10-24,5
2021-10-31,8
2021-11-07,6
2021-11-14,9
2021-11-21,10
2021-11-28,10
2021-12-05,11
2021-12-12,11
2021-12-19,8
2021-12-26,5
2022-01-02,8
2022-01-09,7
2022-01-16,8
2022-01-23,11
2022-01-30,9
2022-02-06,10
2022-02-13,10
2022-02-20,10
2022-02-27,10
2022-03-06,10
2022-03-13,8
2022-03-20,8
2022-03-27,11
2022-04-03,13
2022-04-10,10
2022-04-17,19
2022-04-24,15
2022-05-01,15
2022-05-08,17
2022-05-15,13
2022-05-22,15
2022-05-29,17
2022-06-05,18
2022-06-12,33
2022-06-19,25
2022-06-26,18
2022-07-03,16
2022-07-10,16
2022-07-17,17
2022-07-24,15
2022-07-31,15
2022-08-07,14
2022-08-14,18
2022-08-21,18
2022-08-28,15
2022-09-04,18
2022-09-11,20
2022-09-18,17
2022-09-25,18
2022-10-02,19
2022-10-09,19
2022-10-16,29
2022-10-23,24
2022-10-30,25
2022-11-06,23
2022-11-13,25
2022-11-20,22
2022-11-27,54
2022-12-04,100